,credit,gender,age,prev_payment_sep,prev_payment_aug,prev_payment_jul,prev_payment_jun,prev_payment_may,prev_payment_apr,education_1,education_2,education_3,education_4,education_5,education_6,marital_status_1,marital_status_2,marital_status_3,late_payment_sep,late_payment_aug,late_payment_jul,late_payment_jun,late_payment_may,late_payment_apr,default
0,0.31763873126151376,0,-0.3640061143750362,0.7850601274047454,-0.8957798188835894,1.2809965604874476,-0.8063865147999864,0.5165290048232533,-0.07063766458747796,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,-1.0819741171677073,0,-0.4714784050582554,-5.199337582605575,-0.7087518565195292,-5.199337582605575,-5.199337582605575,-0.4518097725352629,-5.199337582605575,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0
2,0.47315126997587165,1,-1.2237844398407896,0.6379234322697154,0.7521648117224102,1.2261023539109894,-5.199337582605575,2.492852724869876,-5.199337582605575,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0.3953950006186927,0,0.2808276297242788,-5.199337582605575,-0.8599464250376945,-5.199337582605575,-0.43380916926459545,-0.1405957208668294,1.3236991452653457,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
4,-1.0042178478105284,1,0.7107167924571556,-0.8444850779006299,-0.8266977298382984,-0.7892048954013778,-0.0586718653910932,-5.199337582605575,-5.199337582605575,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
5,1.172957694190482,0,0.2808276297242788,0.5588472944053778,-0.8782201321202395,-5.199337582605575,-5.199337582605575,-5.199337582605575,-5.199337582605575,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,-0.6154365010246335,0,0.17335533904105968,-0.8791896263993139,0.8476042691940602,-0.8070289240371475,0.026599993081644197,1.7251362222637483,0.6658523100249348,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2.339301734548166,1,0.4957722110907172,0.1264379945628597,-5.199337582605575,0.2931251637756789,-5.199337582605575,1.8998125448097247,-5.199337582605575,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
8,0.006613653832798008,0,-0.6864229864246937,-5.199337582605575,-5.199337582605575,0.7816259453404761,0.8409063506463135,-0.05146002009662907,1.5669896232638023,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,-0.5376802316674546,0,-0.14906153300859787,-0.35455509402176416,1.179401750967482,-5.199337582605575,1.2366522415199066,-5.199337582605575,0.1612812733498637,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
