credit,age,education_1,education_2,education_3,education_4,education_5,education_6,marital_status_3,late_payment_sep,late_payment_aug,late_payment_jul,late_payment_jun,late_payment_may,late_payment_apr,default
0.317638731,-0.364006114,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.081974117,-0.471478405,0,1,0,0,0,0,0,1,1,1,1,1,1,0
0.47315127,-1.22378444,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.395395001,0.28082763,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-1.004217848,0.710716792,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.172957694,0.28082763,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.615436501,0.173355339,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.339301735,0.495772211,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.006613654,-0.686422986,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.537680232,-0.149061533,1,0,0,0,0,0,0,0,0,0,1,1,1,0
0.084369923,-0.471478405,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.304411424,-0.364006114,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.084369923,-0.793895277,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.706420078,1.463022827,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.650326812,0.818189083,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.304411424,-1.008839858,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.226655154,-0.471478405,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-0.77094904,0.710716792,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.483982772,-0.256533824,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006613654,2.645218025,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.006613654,-1.008839858,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.784176347,-0.471478405,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.004217848,2.537745734,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.317638731,-0.149061533,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.081974117,1.140605955,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1.095201425,-0.471478405,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.561739041,1.248078246,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.071142616,-0.041589242,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.77094904,-0.686422986,1,0,0,0,0,0,0,0,1,0,0,1,1,1
-0.304411424,-0.149061533,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2.417058004,0.065883048,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.550907539,-0.578950696,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1.561739041,1.89291199,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.848705309,-0.471478405,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1.872764118,0.173355339,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550907539,-0.793895277,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.071142616,1.033133665,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.317638731,1.677967409,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.084369923,-0.256533824,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.317638731,2.430273443,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.162126193,-0.578950696,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.148898885,0.065883048,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.250713964,2.645218025,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.848705309,0.925661374,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.328470233,0.173355339,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.483982772,-0.041589242,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47315127,0.065883048,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.226655154,0.818189083,0,0,1,0,0,0,0,1,0,0,0,0,0,1
-0.537680232,0.495772211,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.261545465,0.28082763,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.628663809,0.495772211,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-0.148898885,-0.471478405,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.861932617,-0.256533824,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.561739041,3.290051769,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.872764118,0.38829992,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.395395001,1.140605955,0,0,1,0,0,0,0,1,1,0,0,0,0,1
-0.304411424,1.248078246,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.304411424,-0.149061533,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.317638731,-0.149061533,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.561739041,-0.256533824,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.395395001,0.065883048,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.071142616,-0.578950696,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.861932617,-0.149061533,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.650326812,1.570495118,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.650326812,1.033133665,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.395395001,-0.256533824,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.081974117,-1.008839858,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.239882462,1.463022827,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.317638731,1.463022827,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.095201425,-0.149061533,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.095201425,-0.901367568,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.095201425,1.033133665,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.395395001,-0.578950696,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.006613654,0.818189083,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.071142616,-0.471478405,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.006613654,0.173355339,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.250713964,-0.149061533,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.628663809,0.925661374,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.071142616,-0.364006114,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.071142616,-0.149061533,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.550907539,0.818189083,0,0,1,0,0,0,0,1,0,1,0,0,0,0
-0.304411424,0.28082763,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.494814273,-0.041589242,0,1,0,0,0,0,0,0,1,0,0,1,0,0
-0.304411424,-0.901367568,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.459923962,0.818189083,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.459923962,-0.901367568,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.650326812,1.033133665,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.084369923,-1.008839858,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.095201425,-0.471478405,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47315127,-0.471478405,0,1,0,0,0,0,0,0,0,0,0,0,0,1
